"skills","avg_salary"
"visio","119250"
"jira","119250"
"confluence","119250"
"power bi","118140"
"azure","118140"
"powerpoint","104550"
"flow","96604"
"sheets","93600"
"word","89579"
"sql","85397"
"excel","84366"
"pytorch","79200"
"unix","79200"
"tensorflow","79200"
"windows","79200"
"python","77186"
"r","76667"
"outlook","75068"
"oracle","75068"
"tableau","74435"
"t-sql","64600"
"vba","64600"
"ms access","64600"
"looker","64600"
"sql server","64600"
"terminal","32400"
